pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
GOBP_CYTOPLASMIC_TRANSLATION,GOBP_CYTOPLASMIC_TRANSLATION,GO_BP,Tcon,SF_vs_PB_Tcon,-3.40568387,-0.716518074,4.44601731e-40,2.6698333899999998e-36,163,93,RPS19/EIF3G/RBM4/FAU/NCBP2/IMPACT/RPS10/PABPC1/RPL26/EIF3K/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/RPS11/RPL23A/RPL37A/UBA52/EIF4A2/EIF3D/RPS3/RPL8/RPS4X/RPL23/RPS14/RPL15/GNB2L1/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/EIF3F/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/EEF2/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/EIF3H/RPL39/RPL32/RPL6/RPL27/RPL9/RPSAP58/RPS5/RPS20/EIF3M/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/EIF2S3/EIF3E/RPL7/RPL22/YBX1/EIF3L/EIF2D,down,FALSE
GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GO_BP,Tcon,SF_vs_PB_Tcon,-3.24973648,-0.855410593,5.8748135399999996e-24,1.7639127600000002e-20,47,41,RPL17/RPLP0/RPL14/RPL24/RPL7A/RPL36A/RPL35/RPL27A/RPL10/RPL23A/RPL37A/UBA52/RPL8/RPL23/RPL15/RPL13/RPL13A/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPL34/RPL19/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPL39/RPL32/RPL6/RPL27/RPL9/RPL37/RPL10A/RPL4/RPL5/RPL7,down,FALSE
GOBP_RIBOSOME_BIOGENESIS,GOBP_RIBOSOME_BIOGENESIS,GO_BP,Tcon,SF_vs_PB_Tcon,-2.48488184,-0.480644333,5.8233546100000004e-21,1.1656414799999999e-17,321,122,RPS17/LTV1/RPF1/GNL3L/RBM34/CUL4B/NOL7/WDR77/HEATR3/DDX31/URB1/ZNF622/SRFBP1/NOP14/MALSU1/MRM1/RPUSD3/PPAN/EXOSC2/MDN1/WDR36/DDX56/RIOK2/C1QBP/TFB1M/C8orf59/CIRH1A/MPHOSPH10/MRPS2/ESF1/TRMT2B/TRMT61B/EXOSC1/WDR12/RPUSD4/UTP14A/NOP2/NOB1/RPS19/FAU/WDR3/SURF6/RSL24D1/WDR75/NGDN/SIRT7/DDX28/BRIX1/DDX17/NLE1/NOP56/DDX18/TEX10/EXOSC8/ORAOV1/EMG1/GEMIN4/NMD3/RPL26/ZNHIT6/RPUSD2/RPS16/RRS1/RPS27A/METTL16/RPLP0/C1orf109/RPL14/RPL24/RPS24/RPL7A/UTP23/RPL35/RPS9/ZNF658/RPS27/RPS15/NOLC1/CHD7/EXOSC5/PDCD2/RPS11/DDX55/GTPBP10/NOL11/RPS4X/WDR74/RPS14/RRP1B/RPS25/RPS21/RPS15A/POP5/NSUN5/RPL35A/NSA2/RPS7/NPM1/RPS23/REXO4/RPS28/RPS12/RPL38/MINA/WDR43/RPL11/RPSA/RPL27/RPSAP58/RPS5/NUP88/RPS6/RPL5/RPS3A/RPS13/RPS8/NOA1/RPL7/NOL9/GLTSCR2/EIF2A/FBL,down,FALSE
GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GO_BP,Tcon,SF_vs_PB_Tcon,-2.94709643,-0.734095976,1.90325896e-16,2.85726752e-13,61,43,SCGB3A1/RPL17/RPLP0/RPL14/RPL24/RPL7A/RPL36A/RPL35/RPL27A/RPL10/RPL23A/RPL37A/UBA52/RPL8/RPL23/RPL15/RPL13/RPL13A/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPL34/RPL19/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPL39/RPL32/RPL6/RPL27/RPL9/RPL37/RPL10A/RPL4/RPL5/RPL7/FAM65B,down,FALSE
GOBP_MYELOID_LEUKOCYTE_ACTIVATION,GOBP_MYELOID_LEUKOCYTE_ACTIVATION,GO_BP,Tcon,SF_vs_PB_Tcon,2.46298652,0.536613147,2.9679249900000002e-15,3.56447791e-12,199,83,CCL5/CST7/IFNG/RBPJ/HAVCR2/CD74/CD2/CCL3/SYT11/LAT2/IFNGR1/IL18RAP/LDLR/CD93/BATF/IFI35/PREX1/PLSCR1/TNF/SLAMF1/CSF1/IL10/GPR137B/MYD88/CLU/PRKCD/CALHM2/ANXA1/PSEN1/SBNO2/FCGR2B/CCR2/IL15/JMJD6/FCER1A/NDRG1/DOCK2/LILRB4/SPI1/ZC3H12A/PTPRE/C1QA/PVRL2/VSIG4/FN1/SYK/VAMP3/MIF/NR4A1/PIK3CG/CSF2/SNCA/BATF3/FES/THBS1/MFHAS1/STX4/CARD6/GAB2/FCER1G/LYN/IL18/BTK/NOTCH2/PLCG2/JUND/C5AR1/CD33/GRN/LILRA2/JUN/NAGLU/SRC/IL4R/TREM2/CEBPA/SPHK1/STXBP2/HYAL2/IRF4/TYROBP/CTSC/FCGR3A,up,FALSE
GOBP_TAXIS,GOBP_TAXIS,GO_BP,Tcon,SF_vs_PB_Tcon,2.26715421,0.471463178,4.30350188e-15,4.30708813e-12,300,124,CXCR3/CCL5/SEMA4A/CCR5/CXCR6/CXCL13/CKLF/CXCR4/NOTCH1/TYMP/LYST/CD74/PERP/CCL3/LGALS3/PLEC/XCL2/CCL4/PLP2/ITGA1/DAPK2/PDGFA/PLAUR/PREX1/ITGA2/SLAMF1/CCL23/XCL1/CSF1/LSP1/KIF21A/BMPR2/IL10/HSD3B7/EFNA5/GPR35/FPR3/PRKCD/PTPRJ/BSG/ANXA1/PDE4B/CCR2/CCR1/CCL20/CCL4L2/DOCK2/SPI1/CCRL2/RALA/TNFSF14/C3AR1/CAMK1D/RHOA/CYSLTR1/SYK/CSF1R/MIF/NR4A1/VEGFA/CORO1C/PIK3CG/L1CAM/SEMA7A/S100A4/PLAU/CXCL16/SLAMF8/ADAM8/EGR3/FES/THBS1/WNK1/RAC1/FPR1/NRP2/STX4/CMTM1/FCER1G/LYN/ADAM17/CCL2/GBF1/CREB3/DPP4/NEDD9/ITGAV/MAPK1/RAC3/ARHGEF5/C5AR1/TRPM2/PLXNA3/DEFB1/DUSP3/CXCL10/SERPINE1/NCKAP1L/CCL17/GPNMB/C3/VAV3/ENG/TREM2/RAB13/GSTP1/RHOG/FOSL1/NBL1/CD4/ECSCR/PTK2B/CMTM2/TREM1/HBEGF/HMGB1/HRAS/XCR1/ARRB2/DOCK4/CCL18/ABCC1/CMTM3/ELMO2,up,FALSE
GOBP_REGULATION_OF_T_CELL_ACTIVATION,GOBP_REGULATION_OF_T_CELL_ACTIVATION,GO_BP,Tcon,SF_vs_PB_Tcon,2.15593579,0.442691214,2.6608824e-14,2.28265698e-11,341,114,PDCD1/CCL5/IFNG/SDC4/SMAD7/CD70/HAVCR2/CD74/CD2/HLA-DQA1/HLA-DRB1/HLA-DRB5/LGALS3/DUSP10/CD81/MB21D1/PRNP/HLA-DQA2/BATF/PRKAR1A/PTPN22/LAG3/RASAL3/CDKN2A/CTLA4/NR5A2/CCDC88B/SLAMF1/PPP3CA/XCL1/HLA-DMA/CBFB/HLA-DPA1/HLA-DRA/RIPK3/HLA-DPB1/IL10/TBX21/PRDM1/CD86/IL7/CD276/HLA-DQB2/FGL2/ANXA1/NLRP3/CCR2/HLA-DQB1/IL15/HLA-DMB/SELK/RUNX3/IL12RB2/BCL6/BAD/CASP3/LILRB4/ZC3H12A/TNFSF14/IL4I1/EBI3/NFKBID/VSIG4/TOX/SOCS1/TNFSF4/RHOA/PSMB3/SYK/LGALS1/ADAM8/EGR3/DLG5/TNFSF9/NOD2/TNFSF8/CBLB/LYN/EP300/IL18/CCL2/JAK3/LGALS9C/LRRC32/DUSP22/SOS2/DPP4/AKT1/TFRC/YWHAG/CD83/PSMA7/IL2RG/PSMB1/LILRB1/TWSG1/FOXP3/DUSP3/PSMB2/NCKAP1L/HLA-DOA/SRC/HLA-A/PSMA6/GPNMB/IL21/CAV1/IL23R/ZNHIT1/TNFRSF1B/SLC4A2/IRF4/CD4/FANCA,up,FALSE
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,GO_BP,Tcon,SF_vs_PB_Tcon,2.57966795,0.617903248,4.37483477e-13,2.60202526e-10,102,60,CST7/RAB27A/CD1C/CD74/HLA-DQA1/HLA-DRB1/HLA-DRB5/CTSL/HLA-DQA2/RAB35/ICAM1/MFSD6/HLA-DMA/HLA-DPA1/HLA-DRA/HLA-DPB1/CTSD/HLA-DQB2/FGL2/ULBP2/FCGR2B/HLA-DQB1/TAP1/HLA-DMB/RAB33A/TAPBP/IFI30/RFTN1/THBS1/NOD2/CD8A/FCER1G/DNM2/CD68/RAB34/CD1E/WDFY4/HLA-DOA/HLA-A/MARCH1/TREM2/SAR1B/FCGR1A/RAB32/LILRB2/HLA-F/CD1B/AP3D1/ABCC1/HLA-C/CTSS/CLEC4A/RAET1E/RAB10/SLC11A1/UNC93B1/PYCARD/HLA-G/HLA-B/CD1A,up,FALSE
GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,GOBP_LEUKOCYTE_MEDIATED_IMMUNITY,GO_BP,Tcon,SF_vs_PB_Tcon,2.13336421,0.438828094,4.45659814e-13,2.60202526e-10,335,131,PDCD1/IL2RB/SMAD7/BCL3/CD70/HAVCR2/LYST/RAB27A/CD1C/CD74/CD2/HLA-DRB1/CCL3/CD81/LAT2/IL18RAP/BATF/GZMM/PRF1/LAG3/ARID5A/ICAM1/TNF/SLAMF1/XCL1/HLA-DRA/RIPK3/IL10/TBX21/MYD88/TSTA3/CLU/PRKCD/ULBP2/NLRP3/RSAD2/FCGR2B/CEACAM1/CCR2/IRF7/FCER1A/TUBB4B/BCL6/NCF1/SLA2/LILRB4/SPI1/PRDX1/HPRT1/PCYT1A/GZMB/HCST/IL4I1/C1QA/PVRL2/IL18R1/TNFSF4/C1QB/SYK/VAMP3/C1QC/PIK3CG/RNF19B/RFTN1/KIAA1841/RIF1/FES/MLH1/FCGR2A/CLEC7A/STX4/CD8A/GAB2/FCER1G/CD96/SH2D1A/LYN/IL18/ADAM17/JAK3/BTK/TCIRG1/PLCG2/CD1E/RASGRP4/MAD2L2/DUSP22/TFRC/SLC15A4/YWHAG/IL2RG/LILRB1/CEBPG/CARD9/FOXP3/NCKAP1L/HLA-A/SUV420H2/IL21/C3/TNFSF13/TLR8/TREM2/IL23R/STXBP2/TNFRSF1B/FCGR1A/TYROBP/CTSC/BST2/FCGR3A/INPP5D/TREM1/CSF2RB/TRAF2/TLR4/HMGB1/SUPT6H/HLA-F/SLAMF7/PTPRC/ARRB2/CD1B/TIGIT/WHSC1/HLA-C/CLCF1/CD80/AHR/KLRC1/NBN,up,FALSE
GOBP_MYOBLAST_FUSION,GOBP_MYOBLAST_FUSION,GO_BP,Tcon,SF_vs_PB_Tcon,-2.7070137,-0.654373871,4.66410151e-13,2.60202526e-10,71,43,SCGB3A1/RPL17/RPLP0/RPL14/RPL24/RPL7A/RPL36A/RPL35/RPL27A/RPL10/RPL23A/RPL37A/UBA52/RPL8/RPL23/RPL15/RPL13/RPL13A/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPL34/RPL19/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPL39/RPL32/RPL6/RPL27/RPL9/RPL37/RPL10A/RPL4/RPL5/RPL7/FAM65B,down,FALSE
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,GO_BP,Tcon,SF_vs_PB_Tcon,2.23739085,0.472806417,5.30710828e-13,2.60202526e-10,258,112,PDCD1/IL2RB/SMAD7/BCL3/CD70/HAVCR2/LYST/RAB27A/CD1C/CD74/CD2/HLA-DRB1/CD81/IL18RAP/BATF/GZMM/PRF1/LAG3/ARID5A/ICAM1/TNF/SLAMF1/XCL1/HLA-DRA/RIPK3/IL10/TBX21/MYD88/TSTA3/CLU/PRKCD/ULBP2/NLRP3/RSAD2/FCGR2B/CEACAM1/CCR2/IRF7/FCER1A/TUBB4B/BCL6/SLA2/LILRB4/PRDX1/HPRT1/PCYT1A/GZMB/HCST/IL4I1/C1QA/PVRL2/IL18R1/TNFSF4/C1QB/C1QC/RNF19B/RFTN1/KIAA1841/RIF1/MLH1/FCGR2A/CD8A/FCER1G/CD96/SH2D1A/IL18/BTK/TCIRG1/CD1E/RASGRP4/MAD2L2/DUSP22/TFRC/SLC15A4/YWHAG/IL2RG/LILRB1/CEBPG/CARD9/FOXP3/NCKAP1L/HLA-A/SUV420H2/IL21/C3/TNFSF13/TLR8/TREM2/IL23R/TNFRSF1B/FCGR1A/TYROBP/CTSC/FCGR3A/INPP5D/CSF2RB/TRAF2/HMGB1/SUPT6H/HLA-F/SLAMF7/PTPRC/ARRB2/CD1B/TIGIT/WHSC1/HLA-C/CLCF1/CD80/AHR/KLRC1/NBN,up,FALSE
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO_BP,Tcon,SF_vs_PB_Tcon,2.08296105,0.424482297,5.46331159e-13,2.60202526e-10,368,113,PDCD1/CCL5/IFNG/SDC4/SMAD7/CD70/HAVCR2/CD74/HLA-DQA1/HLA-DRB1/HLA-DRB5/LGALS3/DUSP10/CD81/EZR/PRNP/CD44/HLA-DQA2/PRKAR1A/PTPN22/LAG3/RASAL3/ICAM1/CDKN2A/CTLA4/NR5A2/CCDC88B/TNF/SLAMF1/PPP3CA/XCL1/HLA-DMA/CBFB/HLA-DPA1/HLA-DRA/HLA-DPB1/IL10/MSN/TBX21/GPR35/CD86/TSTA3/IL7/CD276/HLA-DQB2/FGL2/ANXA1/NLRP3/CCR2/HLA-DQB1/IL15/HLA-DMB/SELK/RUNX3/IL12RB2/BCL6/BAD/CASP3/LILRB4/ITGAX/ZC3H12A/TNFSF14/IL4I1/EBI3/NFKBID/VSIG4/SOCS1/TNFSF4/RHOA/PSMB3/SYK/LGALS1/ADAM8/EGR3/DLG5/WNK1/TNFSF9/NOD2/OLR1/CBLB/LYN/EP300/IL18/CCL2/JAK3/PPARA/LGALS9C/LRRC32/DUSP22/DPP4/ITGA5/AKT1/TFRC/YWHAG/CD83/PSMA7/IL2RG/PSMB1/LILRB1/TWSG1/FOXP3/DUSP3/PSMB2/NCKAP1L/HLA-DOA/SRC/HLA-A/PSMA6/GPNMB/KLF4/IL21/CAV1/IL23R,up,FALSE
GOBP_VIRAL_LIFE_CYCLE,GOBP_VIRAL_LIFE_CYCLE,GO_BP,Tcon,SF_vs_PB_Tcon,2.23361335,0.476817047,5.63302722e-13,2.60202526e-10,236,98,APOBEC3H/OASL/CCL5/CCR5/CXCR6/CXCR4/APOBEC3G/APOBEC3C/CTSB/NOTCH1/FURIN/CTSL/CD81/APOBEC3D/LDLR/EPS15/RAB1B/OAS3/ISG15/N4BP1/ICAM1/PLSCR1/NR5A2/MX1/TNF/ITGA2/SLAMF1/CD86/BSG/APOBEC3F/RSAD2/OAS1/LAMTOR5/CHMP1A/EIF2AK2/DYNLT1/SLC1A5/ZC3H12A/VPS37B/IFI16/PVRL2/CHMP2A/IFITM3/DAG1/TRIM25/NEDD4/CDK1/LGALS1/IFITM2/TRIM21/APOBEC3A/TSG101/ANPEP/SLC3A2/NPC1/ATG16L1/HSPA1A/CHMP5/CCL2/APOE/CLEC5A/TOP2A/ADARB1/DPP4/ITGA5/ITGAV/TFRC/IL32/SRC/CAV1/NFIA/LRSAM1/STAU1/HYAL2/KPNA2/SMC6/CD4/HSPA1B/BST2/HMGB1/SCARB2/DEK/SIGLEC1/NUP153/ADRBK1/KPNA6/CD80/TNIP1/IFIT1/AXL/TNFRSF4/APOBEC3B/HN1L/ITGB5/SRPK1/RAB7A/RAB1A/NRP1,up,FALSE
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,GO_BP,Tcon,SF_vs_PB_Tcon,2.12136486,0.438755565,8.25602609e-13,3.54124548e-10,316,142,PDCD1/IFNG/SMAD7/HAVCR2/CD1C/CD74/HLA-DRB1/LGALS3/DUSP10/CD81/MB21D1/IL18RAP/BATF/LAG3/ARID5A/ICAM1/TNF/SLAMF1/XCL1/HLA-DRA/RIPK3/IL10/MZB1/TBX21/CD86/CLU/FGL2/ULBP2/ANXA1/PGLYRP2/NLRP3/RSAD2/FCGR2B/CEACAM1/CCR2/HLA-DMB/BCL6/NCF1/LILRB4/SPI1/ZC3H12A/IL4I1/CD59/NFKBID/PVRL2/VSIG4/LACC1/IL18R1/TNFSF4/SYK/VAMP3/MIF/SEMA7A/LGALS1/SLAMF8/RIF1/IRF5/FES/NOD2/MLH1/CLEC7A/STX4/GAB2/FCER1G/CD96/SH2D1A/LYN/EP300/IL18/GPI/JAK3/BTK/DHX58/PLCG2/CD1E/RASGRP4/MAD2L2/APPL2/DDX60/DUSP22/IL13RA1/TFRC/GALNT2/SLC15A4/YWHAG/IL2RG/LILRB1/FOXP3/SERPING1/GRN/NCKAP1L/HLA-A/SUV420H2/IL21/C3/TNFSF13/TREM2/A2M/IL23R/STXBP2/TNFRSF1B/IRF4/FCGR1A/TYROBP/BST2/INPP5D/TRAF2/TLR4/HMGB1/SUPT6H/HLA-F/PTPRC/ARRB2/CD1B/TIGIT/WHSC1/HLA-C/CLCF1/CD80/AHR/KLRC1/RARA/TNFRSF4/MICA/PRKAA1/IRAK3/PPP3CB/RAET1E/STX7/DNASE1L3/IL12RB1/DENND1B/AP1G1/SLC7A5/ITGB2/TP53BP1/CD36/LAPTM5/KLRB1/TMBIM6/HLA-G/HLA-B,up,FALSE
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GO_BP,Tcon,SF_vs_PB_Tcon,-2.57455056,-0.573338956,9.96219844e-13,3.98820011e-10,112,58,KRR1/FCF1/FAM207A/XRCC5/ERAL1/C1orf131/IMP3/RPS17/LTV1/NOL7/SRFBP1/NOP14/WDR36/RIOK2/TFB1M/CIRH1A/MPHOSPH10/UTP14A/NOB1/RPS19/FAU/WDR3/SURF6/WDR75/NGDN/NOP56/EMG1/RPS16/RRS1/RPS27A/RPS24/UTP23/RPS9/RPS27/RPS15/PDCD2/RPS11/NOL11/RPS4X/RPS14/RPS25/RPS21/RPS15A/RPS7/NPM1/RPS23/RPS28/RPS12/WDR43/RPSA/RPSAP58/RPS5/RPS6/RPS3A/RPS13/RPS8/NOA1/FBL,down,FALSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,GO_BP,Tcon,SF_vs_PB_Tcon,2.15045457,0.448588525,2.58231708e-12,9.69175878e-10,293,115,PDCD1/IL2RB/SEMA4A/CXCL13/SMAD7/BCL3/CD70/NOTCH1/HAVCR2/RAB27A/CD1C/CD74/HLA-DRB1/CD81/IL18RAP/BATF/GZMM/PRF1/LAG3/ARID5A/ICAM1/TNF/STAT4/SLAMF1/XCL1/HLA-DRA/RIPK3/IL10/TBX21/MYD88/TSTA3/CLU/PRKCD/ULBP2/ANXA1/NLRP3/RSAD2/FCGR2B/CEACAM1/CCR2/IRF7/FCER1A/IL12RB2/BCL6/SLA2/LILRB4/ZC3H12A/HPRT1/PCYT1A/IL4I1/EBI3/C1QA/NFKBID/PVRL2/IL18R1/TNFSF4/C1QB/PSMB3/C1QC/LGALS1/RFTN1/KIAA1841/RIF1/MEF2C/MLH1/FCGR2A/CLEC7A/CD8A/FCER1G/EP300/IL18/ADAM17/JAK3/BTK/TCIRG1/CD1E/MAD2L2/DUSP22/TFRC/STAT3/SLC15A4/YWHAG/PSMA7/IL2RG/PSMB1/LILRB1/CARD9/FOXP3/PSMB2/NCKAP1L/HLA-A/PSMA6/SUV420H2/IL21/C3/TNFSF13/TLR8/TREM2/IL23R/TNFRSF1B/IRF4/FCGR1A/CD4/NFKB2/IL17C/CTSC/FCGR3A/INPP5D/CSF2RB/TRAF2/TLR4/HMGB1/SUPT6H/HLA-F/HRAS,up,FALSE
GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION,GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION,GO_BP,Tcon,SF_vs_PB_Tcon,2.0886289,0.430580891,3.32306782e-12,1.17382484e-9,327,119,CCL5/CDKN1A/IFNG/CD70/HAVCR2/CD74/CD2/HLA-DQA1/HLA-DRB1/HLA-DRB5/CCL3/DUSP10/CD81/HLA-DQA2/RASAL3/NR5A2/CCDC88B/TNF/SLAMF1/PPP3CA/XCL1/HLA-DMA/CBFB/HLA-DPA1/HLA-DRA/HLA-DPB1/IL10/TBX21/CD86/MYD88/IL7/CD276/PTPRJ/HLA-DQB2/ANXA1/NLRP3/CCR2/HLA-DQB1/IL15/HLA-DMB/SELK/RUNX3/IL12RB2/BCL6/BAD/LILRB4/SPI1/TNFSF14/IL4I1/EBI3/NFKBID/PVRL2/TOX/SOCS1/TNFSF4/RHOA/SYK/MIF/LGALS1/ADAM8/EGR3/RIF1/THBS1/MEF2C/TNFSF9/NOD2/MLH1/CLEC7A/LYN/EP300/IL18/CCL2/BTK/AKIRIN2/JUND/MAD2L2/DPP4/AKT1/TFRC/YWHAG/CD83/IL2RG/LILRB1/FOXP3/LILRA2/NCKAP1L/HLA-DOA/SRC/HLA-A/IL4R/SUV420H2/IL21/VAV3/IL15RA/TNFSF13/TREM2/CEBPA/CAV1/IL23R/CD4/TYROBP/CTSC/FCGR3A/INPP5D/LILRB2/TLR4/HMGB1/ACTA2/PTPRC/AP3D1/LILRA5/ARID2/THY1/WHSC1/CLCF1/MMP14/CD80/MAP3K8/RARA,up,FALSE
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,GO_BP,Tcon,SF_vs_PB_Tcon,2.09254796,0.431929857,3.93903186e-12,1.3141048e-9,323,131,PDCD1/CCL5/CST7/IFNG/FURIN/PPARG/HLA-DRB1/CCL3/GGT1/GZMK/SYT11/DUSP10/CD81/METRNL/LDLR/PRKAR1A/IFI35/RHBDF2/NR5A2/TNF/XCL1/ZBP1/IL10/MYD88/PRKCD/CALHM2/ANXA1/PGLYRP2/SBNO2/AOAH/NLRP3/FCGR2B/CCR2/IL15/CCR1/USP18/BCL6/CASP3/NCF1/TNFSF14/TMEM173/NR1H2/MAPK7/IFI16/LACC1/IL18R1/TNFSF4/SYK/TRIM45/CAMK2N1/VAMP3/SEMA7A/LGALS1/SNCA/SLAMF8/VIMP/ADAM8/RBX1/NOD2/GBP5/IL1RN/MFHAS1/TNFRSF1A/FCER1G/LYN/IL18/BTK/PPARA/APOE/HCK/ACP5/PLCG2/MMP9/NFE2L1/MAPK1/STAT3/AKNA/FOXP3/GRN/SERPINE1/SRC/PSMA6/KLF4/IL21/C3/C15orf39/TREM2/CEBPA/GSTP1/SPHK1/TNFRSF1B/HYAL2/FCGR1A/RELA/CD4/FANCA/CTSC/PBK/OSM/AIM2/PDCD4/TLR4/LGALS2/PTPRC/EXTL3/LILRA5/ABCC1/SLC39A8/MAP3K8/AHR/TNIP1/IL10RA/NLRP12/GPX1/LPCAT3/SUCNR1/PTGER4/ADORA1/NUPR1/TLR7/MIR142/SIGLEC10/ARNT/DNASE1L3/GNAS/NKG7/TNFAIP3/PPP1R13L/PYCARD/TLR2/NEAT1,up,FALSE
GOBP_RRNA_PROCESSING,GOBP_RRNA_PROCESSING,GO_BP,Tcon,SF_vs_PB_Tcon,-2.23389736,-0.449572755,4.57012638e-12,1.44440047e-9,229,73,MRM1/RPUSD3/PPAN/EXOSC2/MDN1/WDR36/DDX56/RIOK2/TFB1M/CIRH1A/MPHOSPH10/ESF1/TRMT2B/TRMT61B/EXOSC1/WDR12/RPUSD4/UTP14A/NOP2/NOB1/RPS19/WDR3/WDR75/NGDN/SIRT7/BRIX1/DDX17/NOP56/DDX18/TEX10/EXOSC8/EMG1/GEMIN4/RPL26/ZNHIT6/RPUSD2/RPS16/RRS1/METTL16/RPL14/RPS24/RPL7A/UTP23/RPL35/RPS27/RPS15/NOLC1/CHD7/EXOSC5/DDX55/NOL11/WDR74/RPS14/RRP1B/RPS25/RPS21/POP5/NSUN5/RPL35A/NSA2/RPS7/REXO4/RPS28/WDR43/RPL11/RPL27/RPS6/RPL5/RPS8/RPL7/NOL9/GLTSCR2/FBL,down,FALSE
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION,GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION,GO_BP,Tcon,SF_vs_PB_Tcon,2.24750754,0.485542142,4.89873979e-12,1.47084662e-9,213,90,IL2RB/CCL5/CDKN1A/SDC4/CD70/HAVCR2/CD74/HLA-DRB1/LGALS3/CD81/PRNP/PRKAR1A/PTPN22/RASAL3/CDKN2A/CTLA4/NR5A2/CCDC88B/SLAMF1/PPP3CA/XCL1/CSF1/HLA-DPA1/RIPK3/HLA-DPB1/IL10/MZB1/CD86/MYD88/IL7/NMB/CD276/ANXA1/FCGR2B/CCR2/IL15/HLA-DMB/SELK/IL12RB2/BCL6/CASP3/LILRB4/IL4I1/EBI3/VSIG4/TNFSF4/SYK/CSF1R/MIF/CSF2/HHEX/CSF2RA/DLG5/MEF2C/TNFSF9/TNFSF8/CBLB/LYN/IL18/BTK/LGALS9C/LRRC32/SOS2/TFRC/MAPK1/IL2RG/LILRB1/TWSG1/FOXP3/NCKAP1L/HLA-A/GPNMB/IL21/VAV3/TNFSF13/IL23R/ZNHIT1/GSTP1/TNFRSF1B/SLC4A2/CD4/TYROBP/BST2/FCGR3A/INPP5D/LILRB2/CSF2RB/TLR4/MNDA/HMGB1,up,FALSE
