set_name,query_name,population,gate,gse,gpl,hit_rank,pctVar,query_genes_in_dataset,n_genes,n_seed_genes,n_new_genes,frac_seed_genes,scored_against,n_in_ranked,frac_in_ranked
CORESH_treg_up_fdr_only_GSE200469,treg_up_fdr_only,treg,fdr_only,GSE200469,GPL20301,2,17.8606717023464,1721,50,15,35,0.3,tcon,48,0.96
CORESH_treg_up_fdr_only_GSE202919,treg_up_fdr_only,treg,fdr_only,GSE202919,GPL24676,3,17.6176758609129,1654,50,5,45,0.1,tcon,47,0.94
CORESH_treg_up_fdr_only_GSE237034,treg_up_fdr_only,treg,fdr_only,GSE237034,GPL24676,1,18.6493394093177,1617,50,8,42,0.16,tcon,48,0.96
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,GPL18573,3,9.4690943968038,426,50,22,28,0.44,treg,46,0.92
CORESH_cd8_up_fdr_logfc_GSE141645,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141645,GPL20301,5,8.87467851357921,377,50,31,19,0.62,treg,50,1
CORESH_cd8_up_fdr_logfc_GSE153098,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE153098,GPL16791,2,9.79578937844386,360,49,31,18,0.63265306122449,treg,44,0.897959183673469
CORESH_cd8_up_fdr_logfc_GSE222740,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE222740,GPL24676,4,9.23372713847976,432,50,25,25,0.5,treg,43,0.86
CORESH_cd8_up_fdr_logfc_GSE89134,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE89134,GPL16791,1,10.6983521473442,451,50,29,21,0.58,treg,47,0.94
CORESH_cd8_up_fdr_only_GSE110390,cd8_up_fdr_only,cd8,fdr_only,GSE110390,GPL18573,5,18.9675127957104,1915,50,6,44,0.12,treg,49,0.98
CORESH_cd8_up_fdr_only_GSE123290,cd8_up_fdr_only,cd8,fdr_only,GSE123290,GPL20301,4,19.309673828753,1949,50,10,40,0.2,treg,49,0.98
CORESH_tcon_up_fdr_logfc_GSE102751,tcon_up_fdr_logfc,tcon,fdr_logfc,GSE102751,GPL11154,1,15.6475133477143,503,50,36,14,0.72,treg,34,0.68
CORESH_tcon_up_fdr_logfc_GSE150876,tcon_up_fdr_logfc,tcon,fdr_logfc,GSE150876,GPL18573,5,10.3706827198587,410,50,36,14,0.72,treg,41,0.82
CORESH_tcon_up_fdr_only_GSE118383,tcon_up_fdr_only,tcon,fdr_only,GSE118383,GPL15520,1,20.6537003149485,2048,50,13,37,0.26,treg,41,0.82
CORESH_tcon_up_fdr_only_GSE173929,tcon_up_fdr_only,tcon,fdr_only,GSE173929,GPL24014,2,20.4375825417751,2037,50,12,38,0.24,treg,45,0.9
CORESH_tcon_up_fdr_only_GSE216963,tcon_up_fdr_only,tcon,fdr_only,GSE216963,GPL24676,3,20.230892886303,2137,50,25,25,0.5,treg,49,0.98
CORESH_tcon_up_fdr_only_GSE86566,tcon_up_fdr_only,tcon,fdr_only,GSE86566,GPL11154,5,19.5736160695125,2054,48,2,46,0.0416666666666667,treg,13,0.270833333333333
CORESH_treg_up_fdr_logfc_GSE110097,treg_up_fdr_logfc,treg,fdr_logfc,GSE110097,GPL18573,1,7.59606857390368,380,50,17,33,0.34,treg,46,0.92
CORESH_treg_up_fdr_logfc_GSE114065,treg_up_fdr_logfc,treg,fdr_logfc,GSE114065,GPL20301,3,7.27642323094005,335,50,15,35,0.3,treg,50,1
CORESH_treg_up_fdr_logfc_GSE173807,treg_up_fdr_logfc,treg,fdr_logfc,GSE173807,GPL24676,5,7.24907043316995,372,50,13,37,0.26,treg,25,0.5
CORESH_treg_up_fdr_logfc_GSE199729,treg_up_fdr_logfc,treg,fdr_logfc,GSE199729,GPL11154,2,7.29497797656266,397,50,15,35,0.3,treg,40,0.8
CORESH_treg_up_fdr_only_GSE181061,treg_up_fdr_only,treg,fdr_only,GSE181061,GPL18573,5,17.5096223571097,1716,50,3,47,0.06,treg,50,1
CORESH_treg_up_fdr_only_GSE200469,treg_up_fdr_only,treg,fdr_only,GSE200469,GPL20301,2,17.8606717023464,1721,50,15,35,0.3,treg,48,0.96
CORESH_treg_up_fdr_only_GSE202919,treg_up_fdr_only,treg,fdr_only,GSE202919,GPL24676,3,17.6176758609129,1654,50,5,45,0.1,treg,47,0.94
CORESH_treg_up_fdr_only_GSE237034,treg_up_fdr_only,treg,fdr_only,GSE237034,GPL24676,1,18.6493394093177,1617,50,8,42,0.16,treg,48,0.96
